source,material,temperature_C,time_h,location_id,x_sample,y_sample,z_sample,sVM_MPa,stress_xx_MPa,stress_xx_unc_MPa,strain_xx,strain_xx_unc,stress_yy_MPa,stress_yy_unc_MPa,strain_yy,strain_yy_unc,stress_zz_MPa,stress_zz_unc_MPa,strain_zz,strain_zz_unc,stress_xy_MPa,stress_xy_unc_MPa,strain_xy,strain_xy_unc,stress_yz_MPa,stress_yz_unc_MPa,strain_yz,strain_yz_unc,stress_xz_MPa,stress_xz_unc_MPa,strain_xz,strain_xz_unc
neutron_diffraction,Type 316H stainless steel,550.0,800.0,1,8.0,0.0,0.0,128.8856917245498,55.578992018786195,5.345147191977365,0.00012874013422450737,1.8163814117085766e-05,124.96098580101598,5.248910079892913,0.0005619545344257471,1.874136715846753e-05,-20.72075543400821,4.69394378338052,-0.0003476680449929406,1.4757376716308572e-05,-3.3330453253454286,2.561507538110468,-2.0811209836303164e-05,1.5993803164787313e-05,13.93641333037625,2.4473756918303806,8.701760518478829e-05,1.528117505142872e-05,-4.696877772695812,3.0588104197927635,-2.9326846580734833e-05,1.9098913840657256e-05
neutron_diffraction,Type 316H stainless steel,550.0,800.0,2,12.0,0.0,0.0,103.97664353461619,11.548813302893514,5.2332309265039445,0.00021202169988652196,1.7747651646528325e-05,-100.18737759522821,5.164252687421931,-0.00048564817498955516,1.845708357041137e-05,-13.797033739927071,4.631779457181054,5.376470371671533e-05,1.4601335627030821e-05,-11.112964779713348,2.532520979114951,-6.938826789284432e-05,1.581281391837628e-05,-0.2970178453812117,2.4324731499055297,-1.8545504492095167e-06,1.5188125033556479e-05,6.953269452792324,2.8342351441850893,4.3415536095483784e-05,1.769668772954592e-05
neutron_diffraction,Type 316H stainless steel,550.0,800.0,3,8.0,4.0,0.0,90.54992649457209,40.346183423963936,5.2042006014515385,0.0001635063476998932,1.7450637975917463e-05,44.16026746965082,5.397565311324525,0.0001873211163754016,1.944538745020763e-05,-19.776759807201458,4.6803190091005265,-0.0002118954441825053,1.4686592719436081e-05,-3.173764099609106,2.607247740865891,-1.9816673402437346e-05,1.6279400528333367e-05,3.185262134337389,2.533323372816412,1.9888466009521258e-05,1.5817823986365892e-05,37.771257456148454,2.920448242059883,0.00023584004655546352,1.8234993901642196e-05
neutron_diffraction,Type 316H stainless steel,550.0,800.0,4,12.0,4.0,0.0,105.1401321369766,10.214650333346858,4.8905907559481845,0.00015431743813946962,1.60303214831556e-05,-75.07560394006465,5.307133558825926,-0.00037822658854329494,1.9267079016067232e-05,-1.425912078665386,4.74098326742922,8.163490210349073e-05,1.5239851824531499e-05,-8.508586780718344,2.851881268106261,-5.312678575277797e-05,1.7806868405736652e-05,-0.312550781214714,2.4855255603097124,-1.9515365851455316e-06,1.5519379108275278e-05,38.383427567585464,2.898977670854941,0.0002396623770073629,1.8100933749728413e-05
neutron_diffraction,Type 316H stainless steel,550.0,800.0,5,-4.0,8.0,0.0,89.62435366960902,83.27311732118069,5.067782665373026,0.0004209683975174164,1.6919666432163684e-05,-1.9793683144026268,5.16812300435934,-0.00011133980547549399,1.8589974200898748e-05,-8.82564657806054,4.757617258983188,-0.0001540872990241873,1.5297005367577354e-05,5.19483104744053,2.6856274773907254,3.243601824743356e-05,1.6768795956390868e-05,-0.4251749365841489,2.4742914149011104,-2.6547508235498082e-06,1.5449234200358153e-05,-4.183442292428157,2.9456794619302333,-2.6121005533209954e-05,1.8392535176930237e-05
neutron_diffraction,Type 316H stainless steel,550.0,800.0,6,0.0,8.0,0.0,82.9326165813144,71.18686444244206,5.604244754008075,0.00036886785466963155,1.8998054919355562e-05,1.4040825847230545,5.4863294613981255,-6.684902717368718e-05,1.958722180503346e-05,-17.229246030553046,5.014420011856574,-0.00018319371316175264,1.592131029733136e-05,-0.854705245584941,3.132042552728304,-5.3366961675547535e-06,1.9556168134108433e-05,-4.160540475911158,2.650041290018987,-2.5978008825201377e-05,1.6546599274264893e-05,-10.108972146363497,3.0586536756616565,-6.311943584070867e-05,1.9097935145594733e-05
neutron_diffraction,Type 316H stainless steel,550.0,800.0,7,4.0,8.0,0.0,58.63428175792865,33.87244185409623,5.825418831701908,0.00011258520112620946,1.9981353197068296e-05,31.79629556856189,5.469368559341034,9.962194627019019e-05,1.9368975814249332e-05,6.748260228664151,5.034564465847902,-5.677554268136647e-05,1.587213553344138e-05,18.19259190479701,2.7871041934927034,0.00011359276896653744,1.7402406671564198e-05,0.8193408520934988,2.6476604367666154,5.11588434477892e-06,1.6531733458835454e-05,24.216633367793673,3.0103167982214316,0.00015120629615012634,1.879612439865089e-05
neutron_diffraction,Type 316H stainless steel,550.0,800.0,8,8.0,8.0,0.0,117.84252832896536,4.48125014186459,5.356017729810972,3.916206359360614e-05,1.797609614918945e-05,-1.7563863442982786,5.307843816834069,2.1486992390627901e-07,1.9008497535136877e-05,-10.911373994361256,5.022444487600034,-5.69479797935601e-05,1.62404847321993e-05,-14.403927195513033,2.9030191727393087,-8.993671614759357e-05,1.8126168493201537e-05,-1.7859055314440626,2.6875893835123104,-1.1151019903650734e-05,1.678104590680857e-05,66.01779143659593,2.963693569511023,0.0004122086489699648,1.8505013507190778e-05
neutron_diffraction,Type 316H stainless steel,550.0,800.0,9,12.0,8.0,0.0,122.4560597427055,-8.767615574957745,5.027953490547659,5.593952320628509e-05,1.6663507521655794e-05,-66.96453399225844,5.237949169325016,-0.0003074363576432022,1.890680962018991e-05,-5.304101122906514,4.806353897085234,7.7565369541044e-05,1.550126392543918e-05,-9.041293276454224,3.054711121569093,-5.645295314078736e-05,1.907331822248019e-05,-9.087652322122223,2.5870290378249496,-5.674241449910461e-05,1.6153156919102125e-05,60.28281188852115,2.883432569109332,0.0003763999961819857,1.8003871651024122e-05
neutron_diffraction,Type 316H stainless steel,550.0,800.0,10,-4.0,12.0,0.0,73.91781829577148,-72.40774049801651,5.216437186706955,-0.0003181444268539315,1.7556894235112668e-05,-32.92833798019218,5.070218921326429,-7.163888918166258e-05,1.810166409553685e-05,7.25643443390452,4.90296076180324,0.00017927090930635592,1.593200570929929e-05,2.0498233858528883,3.2194773406540587,1.2798897238496083e-05,2.0102102419693635e-05,-9.18066134413576,2.7198527686611675,-5.732315375850622e-05,1.6982495336030705e-05,-12.089595297328577,2.919412753060136,-7.548625356380769e-05,1.8228528409351094e-05
